epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,355.697,0.72308,1.34353,0.97052,0.91329,0.34283,0.2097,0.17919,0.14861,0.33902,0.21045,0.17697,0.13724,1.09794,2.17086,2.89324,1.12131,0.000153415,0.000153415,0.000153415
30,367.771,0.71679,1.27703,0.93736,0.90184,0.38083,0.21733,0.16925,0.13695,0.37861,0.21673,0.16711,0.12656,1.09708,2.1953,2.89612,1.11495,0.000152873,0.000152873,0.000152873
31,379.726,0.70799,1.26363,0.91508,0.90054,0.36214,0.17505,0.1848,0.15531,0.36023,0.17434,0.18267,0.14687,1.10964,2.19122,2.90658,1.12143,0.000152314,0.000152314,0.000152314
32,391.708,0.73011,1.30913,0.94763,0.90698,0.29238,0.25949,0.19049,0.15559,0.29015,0.25667,0.18609,0.14784,1.12214,2.18262,2.87958,1.13233,0.000151737,0.000151737,0.000151737
33,403.628,0.7054,1.31769,0.90314,0.90374,0.40103,0.23686,0.18935,0.14961,0.39358,0.23451,0.18197,0.13797,1.11835,2.23292,2.84782,1.14454,0.000151142,0.000151142,0.000151142
34,415.632,0.72678,1.32768,0.91036,0.91121,0.42619,0.19195,0.19036,0.154,0.42304,0.19107,0.18779,0.14257,1.10641,2.25801,2.95299,1.132,0.000150531,0.000150531,0.000150531
35,427.595,0.69394,1.28113,0.89597,0.89937,0.4036,0.19436,0.18987,0.15134,0.40006,0.19424,0.18736,0.14374,1.0998,2.20365,2.98501,1.1076,0.000149902,0.000149902,0.000149902
36,439.419,0.70936,1.27028,0.94388,0.899,0.40916,0.19655,0.1818,0.14345,0.3754,0.20802,0.17771,0.13791,1.10651,2.1486,2.95949,1.11952,0.000149256,0.000149256,0.000149256
37,451.34,0.68986,1.28762,0.91477,0.90733,0.3276,0.21076,0.17349,0.14827,0.32042,0.20632,0.16819,0.13336,1.10495,2.14647,2.90425,1.13219,0.000148594,0.000148594,0.000148594
38,463.337,0.71458,1.31635,0.91795,0.89797,0.2864,0.23683,0.18923,0.16167,0.28052,0.23119,0.18294,0.15045,1.12015,2.19342,2.86333,1.14419,0.000147915,0.000147915,0.000147915
39,475.408,0.69647,1.29146,0.9055,0.90922,0.25505,0.23473,0.17963,0.14505,0.25345,0.2317,0.17563,0.1304,1.14107,2.21577,2.89935,1.14645,0.000147219,0.000147219,0.000147219
40,487.475,0.71218,1.30581,0.90891,0.91348,0.42859,0.18343,0.18742,0.1492,0.42149,0.18203,0.18614,0.13804,1.15025,2.19248,2.90042,1.14983,0.000146507,0.000146507,0.000146507
41,499.536,0.69471,1.28832,0.90469,0.89843,0.327,0.17438,0.17057,0.13857,0.37949,0.16295,0.16917,0.12564,1.1413,2.20337,2.96514,1.12989,0.00014578,0.00014578,0.00014578
42,511.651,0.6898,1.22596,0.84683,0.89046,0.26286,0.21864,0.18755,0.15084,0.25934,0.21872,0.18397,0.13905,1.13214,2.22159,2.97192,1.13654,0.000145036,0.000145036,0.000145036
43,523.59,0.70357,1.26098,0.9126,0.90377,0.32502,0.19954,0.17746,0.14128,0.32068,0.19836,0.17434,0.12735,1.13865,2.21361,2.94798,1.13897,0.000144276,0.000144276,0.000144276
44,535.559,0.71764,1.3351,0.91316,0.90699,0.31731,0.23207,0.19557,0.15762,0.31487,0.22996,0.19242,0.14577,1.09692,2.19088,2.8407,1.14013,0.000143501,0.000143501,0.000143501
45,547.46,0.68641,1.24629,0.8752,0.89749,0.28827,0.22215,0.18947,0.15485,0.28291,0.21924,0.18689,0.14602,1.10305,2.18194,2.91928,1.13319,0.000142711,0.000142711,0.000142711
46,559.352,0.69765,1.29175,0.88839,0.90043,0.34426,0.17203,0.19252,0.16331,0.34367,0.17236,0.19143,0.1548,1.12321,2.18551,3.04694,1.14378,0.000141906,0.000141906,0.000141906
47,571.258,0.69771,1.25038,0.86741,0.89201,0.40607,0.16828,0.16654,0.13855,0.40525,0.16715,0.16446,0.12986,1.11581,2.23334,2.9064,1.13534,0.000141085,0.000141085,0.000141085
48,583.407,0.70117,1.29438,0.91086,0.89883,0.24363,0.22703,0.17972,0.14432,0.24434,0.22771,0.17773,0.13766,1.08528,2.17366,2.84239,1.12557,0.00014025,0.00014025,0.00014025
49,595.533,0.68458,1.22291,0.85221,0.89302,0.25452,0.21048,0.16859,0.13562,0.25605,0.21059,0.16638,0.12851,1.12545,2.20432,2.92437,1.15596,0.0001394,0.0001394,0.0001394
